"filename", "language", "Markdown", "JSON", "YAML", "Docker", "Properties", "JavaScript", "HTML", "TypeScript", "JSON with Comments", "comment", "blank", "total"
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\app.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -5, -32
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\package-lock.json", "JSON", 0, -5313, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5314
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\package.json", "JSON", 0, -46, 0, 0, 0, 0, 0, 0, 0, 0, -1, -47
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -5, 0, -2, -3, -10
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\controller\api\stravaController.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -52, 0, -2, -13, -67
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\controller\pages\about.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, -2, -9
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\controller\pages\home.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, -2, -9
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\controller\pages\login.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, -2, -9
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\controller\pages\root.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, -2, -9
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\controller\pages\signup.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, -2, -9
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\controller\pages\trails.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, -2, -9
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\middleware\middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\model\api\stravaModel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -21, 0, -1, -4, -26
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\model\model.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\routes\api\stravaRouter.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -6, -15
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\routes\pages\about.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -4, -9
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\routes\pages\home.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -4, -9
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\routes\pages\login.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -4, -9
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\routes\pages\root.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -4, -9
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\routes\pages\signup.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -4, -9
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\routes\pages\trails.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -4, -9
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\backend\src\services\eventBrite\eventBriteService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
